Id,Category
0,2
1,10
2,4
3,9
4,7
5,3
6,4
7,10
8,10
9,2
10,10
11,0
12,9
13,10
14,8
15,4
16,9
17,4
18,2
19,9
20,3
21,5
22,3
23,2
24,9
25,1
26,10
27,3
28,6
29,2
30,2
31,9
32,2
33,2
34,2
35,2
36,8
37,10
38,10
39,2
40,6
41,2
42,2
43,4
44,5
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,3
54,4
55,8
56,4
57,9
58,6
59,9
60,5
61,4
62,2
63,3
64,10
65,8
66,1
67,9
68,4
69,10
70,2
71,5
72,5
73,10
74,9
75,6
76,4
77,3
78,2
79,9
80,4
81,4
82,9
83,8
84,6
85,4
86,4
87,4
88,10
89,9
90,5
91,6
92,2
93,0
94,0
95,6
96,2
97,2
98,6
99,10
100,2
101,1
102,8
103,5
104,4
105,2
106,6
107,5
108,9
109,3
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,8
118,9
119,2
120,4
121,5
122,0
123,5
124,1
125,5
126,5
127,8
128,10
129,9
130,5
131,2
132,3
133,3
134,9
135,9
136,3
137,10
138,3
139,1
140,8
141,4
142,2
143,5
144,1
145,4
146,9
147,8
148,2
149,8
150,5
151,4
152,7
153,4
154,10
155,1
156,3
157,2
158,8
159,2
160,5
161,3
162,5
163,5
164,8
165,0
166,5
167,8
168,3
169,9
170,8
171,2
172,9
173,4
174,2
175,2
176,1
177,10
178,8
179,9
180,3
181,8
182,9
183,5
184,10
185,9
186,10
187,0
188,2
189,4
190,0
191,3
192,1
193,3
194,4
195,5
196,8
197,9
198,2
199,4
200,9
201,2
202,5
203,7
204,4
205,9
206,0
207,9
208,10
209,4
210,2
211,5
212,10
213,2
214,2
215,2
216,10
217,3
218,6
219,5
220,5
221,2
222,2
223,7
224,5
225,4
226,2
227,4
228,6
229,3
230,7
231,2
232,7
233,5
234,3
235,2
236,4
237,10
238,2
239,9
240,5
241,0
242,8
243,2
244,2
245,5
246,0
247,9
248,10
249,2
250,9
251,3
252,5
253,2
254,5
255,2
256,10
257,9
258,3
259,4
260,8
261,8
262,8
263,4
264,4
265,9
266,1
267,3
268,3
269,9
270,4
271,3
272,9
273,4
274,2
275,4
276,9
277,2
278,1
279,9
280,9
281,9
282,2
283,0
284,10
285,2
286,2
287,4
288,3
289,10
290,9
291,4
292,8
293,10
294,5
295,6
296,7
297,4
298,8
299,5
300,2
301,9
302,2
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,0
311,0
312,3
313,8
314,2
315,4
316,7
317,5
318,5
319,9
320,3
321,2
322,5
323,0
324,4
325,2
326,5
327,6
328,10
329,4
330,3
331,0
332,5
333,9
334,4
335,2
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,0
345,4
346,4
347,6
348,4
349,9
350,4
351,5
352,6
353,2
354,6
355,5
356,0
357,2
358,10
359,4
360,2
361,5
362,10
363,2
364,2
365,10
366,4
367,4
368,2
369,4
370,9
371,4
372,5
373,4
374,6
375,6
376,9
377,9
378,10
379,5
380,10
381,6
382,3
383,9
384,4
385,4
386,4
387,10
388,3
389,0
390,2
391,0
392,10
393,8
394,9
395,9
396,8
397,8
398,8
399,9
400,9
401,4
402,9
403,2
404,6
405,3
406,8
407,5
408,5
409,4
410,9
411,7
412,3
413,1
414,3
415,6
416,2
417,4
418,1
419,2
420,5
421,2
422,5
423,10
424,3
425,5
426,6
427,9
428,9
429,9
430,4
431,2
432,4
433,8
434,3
435,2
436,10
437,10
438,4
439,1
440,10
441,4
442,2
443,2
444,2
445,3
446,4
447,10
448,0
449,2
450,4
451,9
452,2
453,2
454,6
455,6
456,5
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,4
466,7
467,6
468,9
469,0
470,5
471,4
472,8
473,0
474,9
475,8
476,6
477,2
478,2
479,6
480,2
481,1
482,3
483,1
484,10
485,4
486,8
487,9
488,2
489,9
490,3
491,3
492,7
493,1
494,2
495,2
496,8
497,5
498,6
499,10
500,6
501,1
502,5
503,6
504,4
