Id,Category
0,1
1,10
2,8
3,9
4,6
5,3
6,4
7,10
8,0
9,2
10,10
11,8
12,3
13,10
14,8
15,0
16,9
17,4
18,5
19,6
20,3
21,5
22,1
23,3
24,1
25,3
26,2
27,4
28,6
29,2
30,2
31,5
32,6
33,2
34,2
35,9
36,5
37,10
38,10
39,2
40,6
41,1
42,2
43,10
44,5
45,1
46,10
47,3
48,0
49,9
50,10
51,1
52,3
53,3
54,7
55,8
56,7
57,1
58,6
59,9
60,5
61,0
62,2
63,3
64,10
65,8
66,1
67,9
68,4
69,10
70,5
71,5
72,5
73,5
74,5
75,6
76,4
77,3
78,2
79,9
80,4
81,8
82,9
83,8
84,7
85,4
86,4
87,4
88,10
89,6
90,2
91,5
92,4
93,2
94,0
95,6
96,1
97,2
98,6
99,10
100,3
101,9
102,8
103,5
104,4
105,9
106,6
107,5
108,9
109,3
110,5
111,5
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,8
121,5
122,7
123,2
124,1
125,5
126,5
127,8
128,10
129,9
130,5
131,2
132,3
133,0
134,1
135,6
136,9
137,10
138,3
139,1
140,8
141,4
142,2
143,5
144,1
145,0
146,9
147,5
148,8
149,5
150,5
151,4
152,7
153,8
154,10
155,1
156,3
157,2
158,8
159,2
160,5
161,9
162,5
163,5
164,0
165,8
166,5
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,9
175,2
176,2
177,10
178,8
179,7
180,1
181,8
182,9
183,5
184,10
185,9
186,8
187,4
188,6
189,4
190,1
191,3
192,1
193,3
194,7
195,5
196,8
197,9
198,0
199,4
200,9
201,2
202,5
203,9
204,4
205,0
206,0
207,4
208,10
209,4
210,1
211,5
212,10
213,2
214,2
215,2
216,10
217,1
218,7
219,0
220,5
221,2
222,2
223,7
224,2
225,5
226,2
227,9
228,6
229,3
230,0
231,2
232,6
233,2
234,1
235,2
236,4
237,10
238,4
239,6
240,5
241,3
242,2
243,4
244,2
245,8
246,2
247,7
248,10
249,5
250,9
251,3
252,4
253,7
254,5
255,2
256,2
257,9
258,0
259,0
260,0
261,8
262,8
263,10
264,4
265,9
266,1
267,3
268,2
269,4
270,4
271,2
272,8
273,4
274,6
275,1
276,9
277,2
278,2
279,4
280,9
281,9
282,2
283,0
284,10
285,2
286,5
287,4
288,3
289,10
290,9
291,4
292,8
293,10
294,2
295,6
296,7
297,4
298,3
299,2
300,2
301,9
302,8
303,1
304,0
305,10
306,2
307,3
308,9
309,3
310,9
311,0
312,1
313,8
314,8
315,4
316,9
317,0
318,5
319,9
320,1
321,2
322,5
323,1
324,4
325,1
326,2
327,6
328,10
329,5
330,8
331,0
332,0
333,9
334,4
335,2
336,3
337,1
338,5
339,10
340,9
341,6
342,5
343,3
344,1
345,4
346,3
347,6
348,4
349,9
350,10
351,2
352,6
353,2
354,2
355,1
356,8
357,10
358,10
359,4
360,0
361,5
362,10
363,2
364,2
365,10
366,4
367,4
368,2
369,7
370,4
371,4
372,5
373,4
374,6
375,4
376,9
377,9
378,2
379,5
380,10
381,6
382,4
383,9
384,4
385,4
386,4
387,10
388,10
389,2
390,5
391,0
392,10
393,8
394,9
395,2
396,8
397,8
398,2
399,9
400,9
401,4
402,9
403,9
404,6
405,3
406,8
407,5
408,5
409,4
410,4
411,7
412,3
413,9
414,3
415,7
416,4
417,4
418,7
419,2
420,2
421,2
422,5
423,4
424,3
425,8
426,6
427,4
428,9
429,9
430,5
431,3
432,4
433,8
434,3
435,2
436,8
437,10
438,1
439,9
440,10
441,4
442,2
443,2
444,2
445,3
446,5
447,10
448,0
449,9
450,4
451,9
452,2
453,2
454,6
455,6
456,4
457,8
458,8
459,10
460,10
461,9
462,10
463,4
464,2
465,9
466,7
467,7
468,9
469,8
470,5
471,4
472,8
473,8
474,9
475,5
476,6
477,2
478,4
479,6
480,9
481,4
482,0
483,1
484,10
485,5
486,8
487,9
488,0
489,9
490,1
491,6
492,9
493,2
494,5
495,2
496,8
497,0
498,3
499,10
500,10
501,1
502,4
503,9
504,4
505,6
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,4
514,0
515,2
516,6
517,9
518,2
519,3
520,2
521,3
522,7
523,1
524,2
525,2
526,7
527,9
528,6
529,4
530,4
531,3
532,4
533,1
534,7
535,10
536,3
537,4
538,8
539,2
540,10
541,9
542,10
543,0
544,9
545,8
546,0
547,5
548,3
549,10
550,9
551,2
552,9
553,6
554,4
555,8
556,2
557,0
558,7
559,2
560,7
561,2
562,2
563,8
564,0
565,4
566,5
567,1
568,8
569,9
570,5
571,5
572,8
573,5
574,2
575,4
576,8
577,4
578,4
579,1
580,2
581,5
582,9
583,9
584,0
585,6
586,2
587,2
588,7
589,5
590,4
591,4
592,4
593,5
594,1
595,9
596,0
597,1
598,4
599,4
600,5
601,10
602,7
603,6
604,4
605,7
606,9
607,5
608,3
609,8
610,4
611,9
612,8
613,6
614,9
615,10
616,3
617,9
618,4
619,2
620,7
621,3
622,4
623,5
624,4
625,3
626,1
627,2
628,9
629,6
630,6
631,3
632,2
633,2
634,2
635,8
636,9
637,8
638,2
639,7
640,10
641,3
642,9
643,9
644,6
645,9
646,7
647,2
648,4
649,3
650,7
651,10
652,8
653,5
654,2
655,5
656,5
657,5
658,8
659,9
660,2
661,6
662,8
663,9
664,9
665,3
666,7
667,5
668,7
669,4
670,0
671,9
672,2
673,7
674,4
675,0
676,3
677,5
678,5
679,1
680,2
681,3
682,5
683,8
684,8
685,7
686,6
687,4
688,10
689,6
690,2
691,9
692,2
693,5
694,4
695,8
696,6
697,8
698,0
699,1
700,1
701,8
702,10
703,9
704,4
705,10
706,8
707,0
708,5
709,9
710,0
711,8
712,6
713,9
714,6
715,0
716,4
717,6
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,4
729,3
730,8
731,0
732,2
733,5
734,4
735,2
736,3
737,10
738,0
739,6
740,3
741,1
742,3
743,8
744,7
745,0
746,9
747,2
748,6
749,8
750,5
751,2
752,0
753,5
754,8
755,2
756,10
757,8
758,9
759,2
760,2
761,4
762,0
763,6
764,2
765,3
766,4
767,9
768,5
769,10
770,2
771,4
772,2
773,5
774,6
775,2
776,3
777,5
778,10
779,4
780,4
781,8
782,4
783,9
784,8
785,8
786,9
787,0
788,8
789,10
790,0
791,8
792,9
793,1
794,7
795,5
796,9
797,2
798,4
799,2
800,4
801,2
802,4
803,8
804,0
805,3
806,10
807,8
808,10
809,2
810,4
811,9
812,8
813,5
814,4
815,4
816,5
817,2
818,1
819,2
820,8
821,8
822,9
823,10
824,8
825,3
826,4
827,4
828,9
829,8
830,0
831,3
832,8
833,1
834,10
835,6
836,5
837,8
838,2
839,3
840,5
841,10
842,5
843,2
844,8
845,8
846,8
847,10
848,8
849,5
850,4
851,9
852,1
853,3
854,10
855,10
856,10
857,10
858,0
859,2
860,1
861,8
862,2
863,9
864,8
865,0
866,2
867,9
868,8
869,3
870,2
871,9
872,5
873,6
874,9
875,3
876,8
877,2
878,5
879,10
880,5
881,5
882,9
883,4
884,4
885,2
886,0
887,4
888,5
889,4
890,6
891,2
892,5
893,5
894,2
895,2
896,3
897,5
898,4
899,4
900,6
901,10
902,8
903,9
904,5
905,1
906,7
907,5
908,9
909,4
910,10
911,6
912,4
913,2
914,4
915,3
916,5
917,9
918,9
919,5
920,9
921,4
922,3
923,9
924,9
925,2
926,6
927,1
928,4
929,9
930,9
931,2
932,4
933,4
934,6
935,2
936,1
937,2
938,9
939,2
940,9
941,4
942,0
943,10
944,8
945,10
946,7
947,8
948,10
949,8
950,7
951,4
952,9
953,9
954,1
955,2
956,6
957,6
958,2
959,4
960,2
961,8
962,6
963,10
964,5
965,6
966,9
967,5
968,1
969,4
970,10
971,4
972,2
973,2
974,3
975,2
976,2
977,5
978,5
979,0
980,0
981,7
982,4
983,7
984,7
985,1
986,10
987,2
988,8
989,6
990,5
991,0
992,8
993,6
994,2
995,8
996,6
997,2
998,9
999,4
1000,9
1001,2
1002,10
1003,10
1004,3
1005,6
1006,3
1007,2
1008,1
1009,5
1010,5
1011,0
1012,6
1013,5
1014,4
1015,10
1016,4
1017,5
1018,2
1019,9
1020,10
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,0
1028,10
1029,8
1030,10
1031,4
1032,6
1033,3
1034,8
1035,10
1036,8
1037,4
1038,5
1039,8
1040,9
1041,8
1042,2
1043,4
1044,8
1045,6
1046,1
1047,5
1048,4
1049,9
1050,3
1051,9
1052,9
1053,8
1054,8
1055,6
1056,4
1057,8
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,5
1066,2
1067,10
1068,4
1069,9
1070,9
1071,6
1072,2
1073,2
1074,10
1075,4
1076,0
1077,5
1078,2
1079,10
1080,2
1081,5
1082,6
1083,9
1084,4
1085,3
1086,0
1087,2
1088,1
1089,4
1090,9
1091,10
1092,1
1093,5
1094,5
1095,1
1096,10
1097,2
1098,1
1099,6
1100,5
1101,1
1102,4
1103,4
1104,6
1105,2
1106,9
1107,10
1108,8
1109,9
1110,5
1111,9
1112,2
1113,2
1114,7
1115,3
1116,8
1117,8
1118,5
1119,2
1120,6
1121,9
1122,7
1123,3
1124,8
1125,9
1126,6
1127,1
1128,2
1129,4
1130,0
1131,10
1132,2
1133,6
1134,0
1135,8
1136,10
1137,9
1138,1
1139,0
1140,8
1141,3
1142,6
1143,2
1144,2
1145,8
1146,0
1147,10
1148,3
1149,10
1150,9
1151,2
1152,0
1153,9
1154,2
1155,9
1156,6
1157,5
1158,2
1159,3
1160,9
1161,5
1162,9
1163,9
1164,3
1165,2
1166,2
1167,2
1168,3
1169,2
1170,4
1171,9
1172,7
1173,2
1174,8
1175,5
1176,10
1177,4
1178,4
1179,4
1180,3
1181,6
1182,3
1183,5
1184,2
1185,6
1186,2
1187,5
1188,2
1189,9
1190,7
1191,2
1192,8
1193,6
1194,10
1195,3
1196,4
1197,5
1198,4
1199,9
1200,4
1201,0
1202,2
1203,3
1204,2
1205,5
1206,8
1207,9
1208,2
1209,3
1210,1
1211,10
1212,5
1213,10
1214,4
1215,8
1216,8
1217,10
1218,6
1219,1
1220,10
1221,10
1222,4
1223,1
1224,6
1225,6
1226,8
1227,6
1228,1
1229,9
1230,4
1231,4
1232,10
1233,6
1234,4
1235,8
1236,4
1237,0
1238,9
1239,4
1240,2
1241,2
1242,5
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,2
1254,5
1255,10
1256,4
1257,10
1258,8
1259,1
1260,1
